year,Tm,Attendance,Attend/G,organization
2018,ARI,2242695,27688,mlb
2018,ATL,2555781,31553,mlb
2018,BAL,1564192,19311,mlb
2018,BOS,2895575,35748,mlb
2018,CHC,3181089,38794,mlb
2018,CHW,1608817,19862,mlb
2018,CIN,1629356,20116,mlb
2018,CLE,1926701,23786,mlb
2018,COL,3015880,37233,mlb
2018,DET,1856970,22926,mlb
2018,HOU,2980549,36797,mlb
2018,KCR,1665107,20557,mlb
2018,LAA,3020216,37287,mlb
2018,LAD,3857500,47043,mlb
2018,MIA,811104,10014,mlb
2018,MIL,2850875,35196,mlb
2018,MIN,1959197,24188,mlb
2018,NYM,2224995,27469,mlb
2018,NYY,3482855,42998,mlb
2018,OAK,1573616,19427,mlb
2018,PHI,2158124,26644,mlb
2018,PIT,1465316,18316,mlb
2018,SDP,2168536,26772,mlb
2018,SEA,2299489,28389,mlb
2018,SFG,3156185,38965,mlb
2018,STL,3403587,42020,mlb
2018,TBR,1154973,14259,mlb
2018,TEX,2107107,26014,mlb
2018,TOR,2325281,28707,mlb
2018,WSN,2529604,31230,mlb
2017,ARI,2134375,26350,mlb
2017,ATL,2505252,30929,mlb
2017,BAL,2028424,25042,mlb
2017,BOS,2917678,36021,mlb
2017,CHC,3199562,39501,mlb
2017,CHW,1629470,20117,mlb
2017,CIN,1836917,22678,mlb
2017,CLE,2048138,25286,mlb
2017,COL,2953650,36465,mlb
2017,DET,2321599,28662,mlb
2017,HOU,2403671,29675,mlb
2017,KCR,2220370,27412,mlb
2017,LAA,3019585,37279,mlb
2017,LAD,3765856,46492,mlb
2017,MIA,1583014,20295,mlb
2017,MIL,2627705,31282,mlb
2017,MIN,2051279,25324,mlb
2017,NYM,2460622,30378,mlb
2017,NYY,3154938,38950,mlb
2017,OAK,1475721,18219,mlb
2017,PHI,1905354,23523,mlb
2017,PIT,1919447,23697,mlb
2017,SDP,2138491,26401,mlb
2017,SEA,2135445,26364,mlb
2017,SFG,3303652,40786,mlb
