year,Tm,Attendance,Attend/G,Est. Payroll
2018,ARI,2242695,27688,134850600
2018,ATL,2555781,31553,115848667
2018,BAL,1564192,19311,141555833
2018,BOS,2895575,35748,233205000
2018,CHC,3181089,38794,202373881
2018,CHW,1608817,19862,75092000
2018,CIN,1629356,20116,94587500
2018,CLE,1926701,23786,142807533
2018,COL,3015880,37233,136658500
2018,DET,1856970,22926,111531000
2018,HOU,2980549,36797,173348900
2018,KCR,1665107,20557,95199167
2018,LAA,3020216,37287,155849666
2018,LAD,3857500,47043,164703429
2018,MIA,811104,10014,86515143
2018,MIL,2850875,35196,109295700
2018,MIN,1959197,24188,110275000
2018,NYM,2224995,27469,161403844
2018,NYY,3482855,42998,180743032
2018,OAK,1573616,19427,69883333
2018,PHI,2158124,26644,93874333
2018,PIT,1465316,18316,88141000
2018,SDP,2168536,26772,93821067
2018,SEA,2299489,28389,168832000
2018,SFG,3156185,38965,202060277
2018,STL,3403587,42020,157713667
2018,TBR,1154973,14259,46011667
2018,TEX,2107107,26014,109099628
2018,TOR,2325281,28707,131670772
2018,WSN,2529604,31230,188886699
2017,ARI,2134375,26350,106580200
2017,ATL,2505252,30929,119705250
2017,BAL,2028424,25042,161621633
2017,BOS,2917678,36021,200550750
2017,CHC,3199562,39501,177210667
2017,CHW,1629470,20117,97842000
2017,CIN,1836917,22678,79315786
2017,CLE,2048138,25286,114427167
2017,COL,2953650,36465,106650000
2017,DET,2321599,28662,118375600
2017,HOU,2403671,29675,157656400
2017,KCR,2220370,27412,127555817
2017,LAA,3019585,37279,181125500
2017,LAD,3765856,46492,201466263
2017,MIA,1583014,20295,111591100
2017,MIL,2627705,31282,68439300
2017,MIN,2051279,25324,103932500
2017,NYM,2460622,30378,176615252
2017,NYY,3154938,38950,182424700
2017,OAK,1475721,18219,51560000
2017,PHI,1905354,23523,86276000
2017,PIT,1919447,23697,102953333
2017,SDP,2138491,26401,49248767
2017,SEA,2135445,26364,172438700
2017,SFG,3303652,40786,177399833
2017,STL,3448337,42572,129652933
2017,TBR,1253619,15477,79473033
2017,TEX,2507760,30960,207326274
2017,TOR,3203886,39554,158890575
2017,WSN,2524980,31173,175587301
2016,ARI,2036216,25138,78399500
2016,ATL,2020914,24950,74999750
2016,BAL,2172344,26819,153744833
2016,BOS,2955434,36487,218682750
2016,CHC,3232420,39906,176097333
2016,CHW,1746293,21559,113416000
2016,CIN,1894085,23384,77329561
2016,CLE,1591667,19650,94511067
2016,COL,2602524,32130,89707000
2016,DET,2493859,31173,199902000
2016,HOU,2306623,28477,89498000
2016,KCR,2557712,31577,125132675
2016,LAA,3016142,37236,139712000
2016,LAD,3703312,45720,231342096
2016,MIA,1712417,21405,72472000
2016,MIL,2314614,28575,52077500
2016,MIN,1963912,24246,93333700
2016,NYM,2789602,34440,155221282
2016,NYY,3063405,37820,193229350
2016,OAK,1521506,18784,54969067
2016,PHI,1915144,23644,84846666
2016,PIT,2249201,27768,81187933
2016,SDP,2351422,29030,50656166
2016,SEA,2267928,27999,137169100
2016,SFG,3365256,41546,177021333
2016,STL,3444490,42525,150353500
2016,TBR,1286163,15879,48223791
2016,TEX,2710402,33462,212117760
2016,TOR,3392099,41878,182690767
2016,WSN,2481938,30641,152967400
2015,ARI,2080145,25681,64434000
2015,ATL,2001392,24709,104037500
2015,BAL,2281202,29246,112989833
2015,BOS,2880694,35564,183931900
2015,CHC,2919122,36039,115306610
2015,CHW,1755810,21677,112889700
2015,CIN,2419506,29870,111572286
2015,CLE,1388905,17361,59163766
2015,COL,2506789,30948,96438600
2015,DET,2726048,33655,172284750
2015,HOU,2153585,26587,93256200
2015,KCR,2708549,33439,121590475
2015,LAA,3012765,37195,131522500
2015,LAD,3764815,46479,265140429
2015,MIA,1752235,21633,71231500
2015,MIL,2542558,31390,70869500
2015,MIN,2220054,27408,107755000
2015,NYM,2569753,31725,98874473
2015,NYY,3193795,39430,214051957
2015,OAK,1768175,21829,64016001
2015,PHI,1831080,22606,103082167
2015,PIT,2498596,30847,104457499
2015,SDP,2459752,30367,125203700
2015,SEA,2193581,27081,130681400
2015,SFG,3375882,41678,180018166
2015,STL,3520889,43468,128241500
2015,TBR,1287054,15322,64571233
2015,TEX,2491875,30764,178860789
2015,TOR,2794891,34505,117917400
2015,WSN,2619843,32344,176496372
2014,ARI,2073730,25602,89926500
2014,ATL,2354305,29065,108081500
2014,BAL,2464473,30426,109097500
2014,BOS,2956089,36495,134628929
2014,CHC,2652113,32742,59800500
2014,CHW,1650821,20381,87475500
2014,CIN,2476664,30576,102230000
2014,CLE,1437393,17746,73509399
2014,COL,2680329,33090,95403500
2014,DET,2917209,36015,169135500
2014,HOU,1751829,21628,44736800
2014,KCR,1956482,24154,89804075
2014,LAA,3095935,38221,128667000
2014,LAD,3782337,46696,233386026
2014,MIA,1732283,21386,42365400
2014,MIL,2797384,34536,109567000
2014,MIN,2250606,27785,87044000
2014,NYM,2148808,26528,82663615
2014,NYY,3401624,41995,258118959
2014,OAK,2003628,24736,89160900
2014,PHI,2423852,29924,176444967
2014,PIT,2442564,30155,80729000
2014,SDP,2195373,27103,76662100
2014,SEA,2064334,25486,95471000
2014,SFG,3368697,41589,163510167
2014,STL,3540649,43712,129932500
2014,TBR,1446464,17858,77814300
2014,TEX,2718733,33565,129801239
2014,TOR,2375525,29327,136466200
2014,WSN,2579389,31844,137235080
2013,ARI,2134895,26357,80060500
2013,ATL,2548679,31465,95618750
2013,BAL,2357561,29106,100832000
2013,BOS,2833333,34979,175395500
2013,CHC,2642682,32626,67874166
2013,CHW,1768413,21832,81401900
2013,CIN,2492101,31151,106255535
2013,CLE,1572926,19419,87342433
2013,COL,2793828,34492,73768000
2013,DET,3083397,38067,154407000
2013,HOU,1651883,20394,14672300
2013,KCR,1750754,21614,87426250
2013,LAA,3019505,37278,116532500
2013,LAD,3743527,46216,254161000
2013,MIA,1586322,19584,24761900
2013,MIL,2531105,31248,86945000
2013,MIN,2477644,30588,63042500
2013,NYM,2135657,26366,69425860
2013,NYY,3279589,40489,246534750
2013,OAK,1809302,22337,69440000
2013,PHI,3012403,37190,150860000
2013,PIT,2256862,27862,99230000
2013,SDP,2166691,26749,65988600
2013,SEA,1761546,21747,78887000
2013,SFG,3369106,41087,139845667
2013,STL,3369769,41602,112583000
2013,TBR,1510300,18646,71163500
2013,TEX,3178273,38759,139261200
2013,TOR,2536562,31316,124517800
2013,WSN,2652422,32746,112493250
2012,ARI,2177617,26884,67069833
2012,ATL,2420171,29879,86208000
2012,BAL,2102240,25954,77949000
2012,BOS,3043003,37568,110386000
2012,CHC,2882756,35590,86159366
2012,CHW,1965955,24271,118208000
2012,CIN,2347251,28978,80309500
2012,CLE,1603596,19797,78911300
2012,COL,2630458,32475,75485000
2012,DET,3028033,37383,131394000
2012,HOU,1607733,19849,37651000
2012,KCR,1739859,21480,61747075
2012,LAA,3061770,37800,141073500
2012,LAD,3324246,41040,177033600
2012,MIA,2219444,27401,107678000
2012,MIL,2831385,34955,95717000
2012,MIN,2776354,34276,99066000
2012,NYM,2242803,27689,91621424
2012,NYY,3542406,43733,197977900
2012,OAK,1679013,20729,61202500
2012,PHI,3565718,44021,171501558
2012,PIT,2091918,25826,70077000
2012,SDP,2123721,26219,55494700
2012,SEA,1721920,21258,78235600
2012,SFG,3377371,41696,117637350
2012,STL,3262109,40273,112071000
2012,TBR,1559681,19255,63368700
2012,TEX,3460280,42720,124119900
2012,TOR,2099663,25922,82352700
2012,WSN,2370794,29269,92386000
2011,ARI,2105432,25993,54823166
2011,ATL,2372940,29296,93855132
2011,BAL,1755461,21672,88299038
2011,BOS,3054001,37704,166662475
2011,CHC,3017966,37259,136547329
2011,CHW,2001117,24705,127789000
2011,CIN,2213588,27328,77297134
2011,CLE,1840835,22726,49426566
2011,COL,2909777,35923,91648071
2011,DET,2642045,32618,106875231
2011,FLA,1520562,18772,57694000
2011,HOU,2067016,25519,71110500
2011,KCR,1724450,21290,35712000
2011,LAA,3166321,39090,138543166
2011,LAD,2935139,36236,103785477
2011,MIL,3071373,37918,86636333
2011,MIN,3168116,39113,112737000
2011,NYM,2352596,29044,151897309
2011,NYY,3653680,45107,206275028
2011,OAK,1476791,18232,67094000
2011,PHI,3680718,45441,172976379
2011,PIT,1940429,23956,45047000
2011,SDP,2143018,26457,45869140
2011,SEA,1896321,23411,86110600
2011,SFG,3387303,41819,124198333
2011,STL,3093954,38197,105433572
2011,TBR,1529188,18879,41053571
2011,TEX,2946949,36382,93799264
2011,TOR,1818103,22446,64567800
2011,WSN,1940478,24256,68492928
2010,ARI,2056697,25391,61368166
2010,ATL,2510119,30989,84423666
2010,BAL,1733019,21395,81612500
2010,BOS,3046445,37610,164507333
2010,CHC,3062973,37814,146609002
2010,CHW,2194378,27091,107195000
2010,CIN,2060550,25439,75321542
2010,CLE,1391644,17181,61203966
2010,COL,2875245,35497,90677000
2010,DET,2461237,30386,124039928
2010,FLA,1524894,18826,57454719
2010,HOU,2331490,28784,93216000
2010,KCR,1615327,19942,73105210
2010,LAA,3250814,40134,104963866
2010,LAD,3562320,43979,95358016
2010,MIL,2776531,34278,81108278
2010,MIN,3223640,39798,97559166
2010,NYM,2559738,31602,134422942
2010,NYY,3765807,46491,210733389
2010,OAK,1418391,17511,57904900
2010,PHI,3777322,44968,141928379
2010,PIT,1613399,19919,37443000
2010,SDP,2131774,26318,37799300
