State Name,MLB Team(s),stadium_zipcode,start_point,end_point,organizatin
Arizona,Arizona Diamondbacks,85034,1998,2018,mlb
California,Los Angeles Angels,92806,1998,2018,mlb
California,Los Angeles Dodgers,90012,1998,2018,mlb
California,Oakland A's,94621,1998,2018,mlb
California,San Diego Padres,92108,1998,2004,mlb
California,San Diego Padres,92101,2005,2018,mlb
California,San Francisco Giants,94124,1998,1999,mlb
California,San Francisco Giants,94107,2000,2018,mlb
Colorado,Colorado Rockies,80204,1998,1994,mlb
Colorado,Colorado Rockies,80205,1998,2018,mlb
Florida,Miami Marlins,33056,1998,2011,mlb
Florida,Miami Marlins,33125,2012,2018,mlb
Florida,Tampa Bay Rays,33705,1998,2018,mlb
Georgia,Atlanta Braves,30312,1998,1996,mlb
Georgia,Atlanta Braves,30315,1998,2016,mlb
Georgia,Atlanta Braves,30339,2017,2018,mlb
Illinois,Chicago Cubs,60613,1998,2018,mlb
Illinois,Chicago White Sox,60616,1998,1990,mlb
Illinois,Chicago White Sox,60616,1991,2018,mlb
Maryland,Baltimore Orioles,21201,1998,2018,mlb
Massachusetts,Boston Red Sox,2215,1998,2018,mlb
Michigan,Detroit Tigers,48216,1998,1999,mlb
Michigan,Detroit Tigers,48201,2000,2018,mlb
Minnesota,Minnesota Twins,55415,1998,2009,mlb
Minnesota,Minnesota Twins,55403,2010,2018,mlb
Missouri,Kansas City Royals,64129,1998,2018,mlb
Missouri,St. Louis Cardinals,63102,1998,2005,mlb
Missouri,St. Louis Cardinals,63102,2006,2018,mlb
New York,New York Mets,11368,1998,2008,mlb
New York,New York Mets,11368,2009,2018,mlb
New York,New York Yankees,10452,1998,2008,mlb
New York,New York Yankees,10451,2009,2018,mlb
Ohio,Cleveland Indians,44115,1998,2018,mlb
Ohio,Cincinnati Reds,45202,1998,2002,mlb
Ohio,Cincinnati Reds,45202,2003,2018,mlb
Pennsylvania,Philadelphia Phillies,19148,1998,2003,mlb
Pennsylvania,Philadelphia Phillies,19148,2004,2018,mlb
Pennsylvania,Pittsburgh Pirates,15212,1998,2000,mlb
Pennsylvania,Pittsburgh Pirates,15212,2001,2018,mlb
Texas,Houston Astros,77054,1998,1999,mlb
Texas,Houston Astros,77002,2000,2018,mlb
Texas,Texas Rangers,76011,1998,2018,mlb
Washington,Seattle Mariners,98104,1998,1999,mlb
Washington,Seattle Mariners,98134,2000,2018,mlb
Wisconsin,Milwaukee Brewers,53214,1998,2000,mlb
Wisconsin,Milwaukee Brewers,53214,2001,2018,mlb
"Montreal, Quebec, Canada",Expos,QCH1V0B2,1998,2004,mlb
Washington DC,Washington Nationals,20003,2005,2007,mlb
Washington DC,Washington Nationals,20003,2008,2018,mlb
