year,team,attendance,attendance/G
2018,Milwaukee Bucks,417120,17380
2018,Golden State Warriors,470304,19596
2018,Boston Celtics,391104,18624
2018,Toronto Raptors,455788,19817
2018,Denver Nuggets,418556,18198
2018,Utah Jazz,366120,18306
2018,Indiana Pacers,351846,16755
2018,Oklahoma City Thunder,382263,18203
2018,San Antonio Spurs,438073,18253
2018,Portland Trail Blazers,503916,19381
2018,Houston Rockets,415265,18055
2018,New Orleans Pelicans,326471,15546
2018,Philadelphia 76ers,468742,20380
2018,Los Angeles Clippers,389202,16922
2018,Los Angeles Lakers,455928,18997
2018,Dallas Mavericks,437192,19872
2018,Minnesota Timberwolves,330665,15030
2018,Charlotte Hornets,365785,15904
2018,Sacramento Kings,403951,16831
2018,Miami Heat,451205,19618
2018,Memphis Grizzlies,326775,15561
2018,Brooklyn Nets,329055,14307
2018,Detroit Pistons,350469,15930
2018,Washington Wizards,379649,17170
2018,Orlando Magic,396994,16990
2018,Phoenix Suns,355199,14800
2018,New York Knicks,345641,19202
2018,Atlanta Hawks,284731,14986
2018,Chicago Bulls,420351,20017
2018,Cleveland Cavaliers,427504,19432
2017,Houston Rockets,732722,17871
2017,Toronto Raptors,813431,19840
2017,Golden State Warriors,803436,19596
2017,Utah Jazz,734806,17922
2017,Philadelphia 76ers,833503,20361
2017,Oklahoma City Thunder,746322,18203
2017,Boston Celtics,763584,18624
2017,San Antonio Spurs,754562,18404
2017,Portland Trail Blazers,795750,19409
2017,Minnesota Timberwolves,699308,17056
2017,Denver Nuggets,702796,17141
2017,New Orleans Pelicans,673920,16437
2017,Indiana Pacers,658119,16052
2017,Cleveland Cavaliers,843042,20562
2017,Washington Wizards,739302,18032
2017,Los Angeles Clippers,697812,17020
2017,Miami Heat,804850,19630
2017,Charlotte Hornets,671404,16376
2017,Detroit Pistons,713945,17413
2017,Milwaukee Bucks,685303,16856
2017,Los Angeles Lakers,776327,18935
2017,Dallas Mavericks,811453,19792
2017,New York Knicks,792608,19332
2017,Brooklyn Nets,640010,15376
2017,Orlando Magic,734531,17915
2017,Atlanta Hawks,590769,14409
2017,Memphis Grizzlies,653863,15948
2017,Sacramento Kings,714680,17431
2017,Chicago Bulls,851824,20776
2017,Phoenix Suns,690576,16843
2016,Golden State Warriors,803436,19596
2016,San Antonio Spurs,755347,18423
2016,Houston Rockets,695903,16973
2016,Los Angeles Clippers,782609,19088
2016,Utah Jazz,806142,19662
2016,Toronto Raptors,813050,19830
2016,Cleveland Cavaliers,843042,20562
2016,Boston Celtics,760690,18553
2016,Washington Wizards,697107,17003
2016,Oklahoma City Thunder,746323,18203
2016,Memphis Grizzlies,677314,16520
2016,Miami Heat,805400,19644
2016,Denver Nuggets,605585,14672
2016,Chicago Bulls,888882,21680
2016,Charlotte Hornets,710643,17333
2016,Portland Trail Blazers,792029,19318
2016,Milwaukee Bucks,648952,15828
2016,Indiana Pacers,684578,16697
2016,Minnesota Timberwolves,607203,14810
2016,Atlanta Hawks,654306,15959
2016,Detroit Pistons,655141,15979
2016,New Orleans Pelicans,663099,16173
2016,Dallas Mavericks,811366,19789
2016,Sacramento Kings,721928,17608
2016,New York Knicks,810741,19774
2016,Phoenix Suns,708639,17134
2016,Philadelphia 76ers,710557,17331
2016,Los Angeles Lakers,776917,18949
2016,Orlando Magic,727875,17753
2016,Brooklyn Nets,632608,15429
2015,Golden State Warriors,803436,19596
2015,San Antonio Spurs,756445,18450
2015,Oklahoma City Thunder,746323,18203
2015,Cleveland Cavaliers,843042,20562
2015,Los Angeles Clippers,786910,19193
2015,Toronto Raptors,812863,19826
2015,Atlanta Hawks,690150,16833
2015,Boston Celtics,749076,18270
2015,Charlotte Hornets,716894,17485
2015,Utah Jazz,791489,19305
2015,Indiana Pacers,690733,16847
2015,Miami Heat,809350,19740
2015,Portland Trail Blazers,794085,19368
2015,Detroit Pistons,677138,16516
2015,Houston Rockets,737244,17982
2015,Dallas Mavericks,825901,20144
2015,Washington Wizards,725426,17693
2015,Chicago Bulls,894659,21821
2015,Orlando Magic,719275,17515
2015,Memphis Grizzlies,701894,17119
2015,Sacramento Kings,707526,17222
2015,New York Knicks,812292,19812
2015,Denver Nuggets,577898,14095
2015,Minnesota Timberwolves,581178,14175
2015,New Orleans Pelicans,688549,16794
2015,Milwaukee Bucks,621808,15166
2015,Phoenix Suns,701405,17107
2015,Brooklyn Nets,620142,15125
2015,Los Angeles Lakers,778877,18997
2015,Philadelphia 76ers,614650,14991
2014,Golden State Warriors,803436,19596
2014,Los Angeles Clippers,785892,19168
2014,San Antonio Spurs,762855,18606
2014,Atlanta Hawks,713909,17412
2014,Portland Trail Blazers,798368,19472
2014,Cleveland Cavaliers,843042,20562
2014,Houston Rockets,747412,18230
2014,Memphis Grizzlies,710502,17329
2014,Dallas Mavericks,827702,20188
2014,Chicago Bulls,886612,21625
2014,Oklahoma City Thunder,746323,18203
2014,Toronto Raptors,809824,19752
2014,New Orleans Pelicans,683757,16677
2014,Utah Jazz,772059,18831
2014,Washington Wizards,747796,18239
2014,Milwaukee Bucks,593910,14813
2014,Indiana Pacers,691434,16864
2014,Phoenix Suns,693862,16923
2014,Boston Celtics,721350,17594
2014,Detroit Pistons,625917,15266
2014,Miami Heat,808223,19713
2014,Denver Nuggets,602707,14700
2014,Sacramento Kings,680049,16587
2014,Brooklyn Nets,698529,17037
2014,Charlotte Hornets,704886,17192
2014,Orlando Magic,688194,16785
2014,Los Angeles Lakers,768244,18738
2014,Minnesota Timberwolves,595652,14416
2014,Philadelphia 76ers,571572,13941
2014,New York Knicks,812292,19812
2013,San Antonio Spurs,755031,18415
2013,Los Angeles Clippers,787692,19212
2013,Oklahoma City Thunder,746323,18203
2013,Golden State Warriors,803436,19596
2013,Houston Rockets,743082,18124
2013,Portland Trail Blazers,809612,19747
2013,Miami Heat,811036,19781
2013,Indiana Pacers,717542,17501
2013,Minnesota Timberwolves,597157,14565
2013,Phoenix Suns,650739,15872
2013,Dallas Mavericks,817982,19951
2013,Toronto Raptors,748339,18252
2013,Memphis Grizzlies,685458,16718
2013,Chicago Bulls,890370,21716
2013,Washington Wizards,698068,17026
2013,Atlanta Hawks,587927,14231
2013,Charlotte Bobcats,636268,15519
2013,Denver Nuggets,692898,16900
2013,New York Knicks,812292,19812
2013,Brooklyn Nets,707331,17252
2013,New Orleans Pelicans,672029,16391
2013,Sacramento Kings,667949,16291
2013,Cleveland Cavaliers,710522,17330
2013,Detroit Pistons,616005,15025
2013,Boston Celtics,742400,18107
2013,Los Angeles Lakers,771974,18829
2013,Orlando Magic,666046,16245
2013,Utah Jazz,745203,18176
2013,Milwaukee Bucks,552067,13465
2013,Philadelphia 76ers,568632,13869
2012,Oklahoma City Thunder,746323,18203
2012,Miami Heat,819290,19983
2012,San Antonio Spurs,755700,18432
2012,Los Angeles Clippers,788293,19227
2012,Denver Nuggets,730616,17820
2012,Memphis Grizzlies,681613,16625
2012,New York Knicks,780353,19033
2012,Houston Rockets,683564,16672
2012,Indiana Pacers,626069,15270
2012,Los Angeles Lakers,778877,18997
2012,Golden State Warriors,794320,19374
2012,Brooklyn Nets,704702,17188
2012,Utah Jazz,763915,18632
2012,Chicago Bulls,896944,21877
2012,Atlanta Hawks,620146,15126
2012,Dallas Mavericks,821490,20036
2012,Boston Celtics,744960,18624
2012,Milwaukee Bucks,616469,15036
2012,Minnesota Timberwolves,669956,16340
2012,Toronto Raptors,743936,18145
2012,Portland Trail Blazers,813012,19830
2012,Washington Wizards,670070,16343
2012,New Orleans Hornets,565930,13803
2012,Philadelphia 76ers,685412,16717
2012,Sacramento Kings,563743,13750
2012,Detroit Pistons,606094,14685
2012,Cleveland Cavaliers,663882,16192
2012,Phoenix Suns,632913,15437
2012,Orlando Magic,722716,17627
2012,Charlotte Bobcats,628293,15324
2011,Chicago Bulls,731326,22161
2011,San Antonio Spurs,607095,18397
2011,Oklahoma City Thunder,600699,18203
2011,Miami Heat,657855,19935
2011,Philadelphia 76ers,577597,17503
2011,Denver Nuggets,561966,17029
2011,Los Angeles Clippers,634237,19219
2011,Atlanta Hawks,501593,15200
2011,Indiana Pacers,467561,14169
2011,Memphis Grizzlies,518446,15710
2011,New York Knicks,652179,19763
2011,Boston Celtics,614592,18624
2011,Los Angeles Lakers,626901,18997
2011,Dallas Mavericks,671050,20335
2011,Utah Jazz,637124,19307
2011,Houston Rockets,506994,15363
2011,Orlando Magic,623587,18897
2011,Phoenix Suns,514718,15598
2011,Portland Trail Blazers,676384,20496
2011,Milwaukee Bucks,485717,14719
2011,Minnesota Timberwolves,577197,17491
2011,Golden State Warriors,622311,18858
2011,New Orleans Hornets,498618,15110
2011,Toronto Raptors,555584,16836
2011,Sacramento Kings,478764,14508
2011,Washington Wizards,552038,16728
2011,Detroit Pistons,475638,14413
2011,New Jersey Nets,460719,13961
2011,Cleveland Cavaliers,525577,15927
2011,Charlotte Bobcats,486984,14757
2010,Miami Heat,810930,19779
2010,Chicago Bulls,893462,21792
2010,Los Angeles Lakers,778877,18997
2010,San Antonio Spurs,750879,18314
2010,Orlando Magic,777852,18972
2010,Boston Celtics,763584,18624
2010,Denver Nuggets,696568,16989
2010,Dallas Mavericks,824162,20102
2010,Oklahoma City Thunder,744068,18148
2010,Memphis Grizzlies,600687,14651
2010,Houston Rockets,663839,16191
2010,Portland Trail Blazers,840924,20510
2010,New Orleans Hornets,603088,14709
2010,Philadelphia 76ers,604823,14752
2010,New York Knicks,808879,19729
2010,Phoenix Suns,720249,17567
2010,Milwaukee Bucks,631912,15412
2010,Atlanta Hawks,641596,15649
2010,Indiana Pacers,555077,13538
2010,Utah Jazz,799982,19512
2010,Golden State Warriors,766398,18693
2010,Los Angeles Clippers,727462,17743
2010,Detroit Pistons,683080,16660
2010,Charlotte Bobcats,649694,15846
2010,Sacramento Kings,569496,13890
2010,Minnesota Timberwolves,624960,15243
2010,New Jersey Nets,581378,13949
2010,Toronto Raptors,680255,16592
2010,Washington Wizards,688466,16792
2010,Cleveland Cavaliers,824595,20112
2009,Orlando Magic,715901,17461
2009,Cleveland Cavaliers,843042,20562
2009,Utah Jazz,794512,19378
2009,San Antonio Spurs,741676,18090
2009,Los Angeles Lakers,778877,18997
2009,Phoenix Suns,723582,17648
2009,Atlanta Hawks,678375,16546
2009,Denver Nuggets,737301,17983
2009,Oklahoma City Thunder,738149,18004
2009,Boston Celtics,763584,18624
2009,Portland Trail Blazers,840371,20497
2009,Dallas Mavericks,819770,19994
2009,Miami Heat,726935,17730
2009,Milwaukee Bucks,619453,15109
2009,Charlotte Bobcats,648520,15818
2009,Houston Rockets,677658,16528
2009,Memphis Grizzlies,552914,13486
2009,Chicago Bulls,849760,20726
2009,Toronto Raptors,733784,17897
2009,New Orleans Hornets,617366,15058
2009,Indiana Pacers,582295,14202
2009,Golden State Warriors,739120,18027
2009,Philadelphia 76ers,583219,14225
2009,New York Knicks,799550,19501
2009,Sacramento Kings,543416,13254
2009,Washington Wizards,664398,16205
