State Name,NFL Team(s),Stadium City,Zip Codes,organization
Arizona,Arizona Cardinals,"Glendale,AZ",85305,nfl
California,Los Angeles Rams,"Los Angeles, CA",90037,nfl
California,Los Angeles Chargers,"Carson,CA",90746,nfl
California,Oakland Raiders,"Oakland,CA",94621,nfl
California,San Francisco 49ers,"Santa Clara,CA",95054,nfl
Colorado,Denver Broncos,"Denver,CO",80204,nfl
Florida,Jacksonville Jaguars,"Jacksonville,FL",32202,nfl
Florida,Miami Dolphins,"Miami Gardens,FL",33056,nfl
Florida,Tampa Bay Buccaneers,"Tampa,FL",33607,nfl
Georgia,Atlanta Falcons,"Atlanta,GA",30313,nfl
Illinois,Chicago Bears,"Chicago,IL",60605,nfl
Indiana,Indianapolis Colts,"Indianapolis,IN",46225,nfl
Louisiana,New Orleans Saints,"New Orleans,LA",70112,nfl
Maryland,Baltimore Ravens,"Baltimore,MD",21230,nfl
Maryland,Washington Redskins,"Landover,MD",20785,nfl
Massachusetts,New England Patriots,"Foxborough,MA",2035,nfl
Michigan,Detroit Lions,"Detroit,MI",48226,nfl
Minnesota,Minnesota Vikings,"Minneapolis,MN",55415,nfl
Missouri,Kansas City Chiefs,"Kansas City,MO",64129,nfl
New Jersey,New York Giants,"East Rutherford,NJ",7073,nfl
New Jersey,New York Jets,"East Rutherford,NJ",7073,nfl
New York,Buffalo Bills,"Orchard Park,NY",14127,nfl
North Carolina,Carolina Panthers,"Charotte,NC",28202,nfl
Ohio,Cincinnati Bengals,"Cincinnati,OH",45202,nfl
Ohio,Cleveland Browns,"Cleveland,OH",44114,nfl
Pennsylvania,Philadelphia Eagles,"Philadelphia,PA",19148,nfl
Pennsylvania,Pittsburgh Steelers,"Pittsburgh,PA",15212,nfl
Tennessee,Tennessee Titans,"Nashville,TN",37213,nfl
Texas,Dallas Cowboys,"Arlington,TX",76011,nfl
Texas,Houston Texans,"Houston,TX",77054,nfl
Washington,Seattle Seahawks,"Seattle,WA",98134,nfl
Wisconsin,Green Bay Packers,"Green Bay,WI",54304,nfl
